2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:35 status unpacked liblzma5:i386 5.2.2-1.2+b1
2017-12-09 19:40:35 status unpacked liblzma5:i386 5.2.2-1.2+b1
2017-12-09 19:40:35 install zlib1g:i386 <none> 1:1.2.8.dfsg-5
2017-12-09 19:40:35 status half-installed zlib1g:i386 1:1.2.8.dfsg-5
2017-12-09 19:40:35 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2017-12-09 19:40:35 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2017-12-09 19:40:35 startup packages configure
2017-12-09 19:40:35 configure gcc-6-base:i386 6.3.0-18 <none>
2017-12-09 19:40:35 status unpacked gcc-6-base:i386 6.3.0-18
2017-12-09 19:40:35 status half-configured gcc-6-base:i386 6.3.0-18
2017-12-09 19:40:35 status installed gcc-6-base:i386 6.3.0-18
2017-12-09 19:40:35 configure lsb-base:all 9.20161125 <none>
2017-12-09 19:40:35 status unpacked lsb-base:all 9.20161125
2017-12-09 19:40:35 status half-configured lsb-base:all 9.20161125
2017-12-09 19:40:35 status installed lsb-base:all 9.20161125
2017-12-09 19:40:35 configure sensible-utils:all 0.0.9 <none>
2017-12-09 19:40:35 status unpacked sensible-utils:all 0.0.9
2017-12-09 19:40:35 status half-configured sensible-utils:all 0.0.9
2017-12-09 19:40:35 status installed sensible-utils:all 0.0.9
2017-12-09 19:40:35 configure ncurses-base:all 6.0+20161126-1+deb9u1 <none>
2017-12-09 19:40:35 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:35 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:35 status half-configured ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:35 status installed ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:35 configure libsemanage-common:all 2.6-2 <none>
2017-12-09 19:40:35 status unpacked libsemanage-common:all 2.6-2
